Year,State,District,Season,Crop,Area_ha,Rainfall_mm,Fertilizer_kg_ha,Tmin_C,Tmax_C,SOC_pct,Production_t,Yield_t_ha
2004,Tamil Nadu,District_30,Kharif,Maize,341.34,,162.9,19.1,38.2,1.11,932.17,2.7309134587215094
2011,Madhya Pradesh,District_31,Summer,Cotton,367.22,718.8,92.0,24.1,28.7,0.73,499.99,1.3615543815696312
2020,Chhattisgarh,District_32,Rabi,Barley,166.18,369.0,114.1,18.9,36.3,1.22,246.16,1.4812853532314356
2000,Chhattisgarh,District_33,Kharif,Cotton,300.14,1063.1,165.4,18.1,29.2,0.92,700.19,2.332877990271207
2018,Maharashtra,District_34,Kharif,Wheat,144.66,948.6,198.6,25.6,31.5,0.58,512.21,3.5407852896446843
2011,Karnataka,District_35,Kharif,Rice,168.72,810.6,96.5,19.9,33.9,0.71,474.62,2.8130630630630633
2017,Bihar,District_36,Autumn,Maize,141.09,819.8,140.0,25.3,29.5,1.08,473.61,3.356793536040825
2015,Kerala,District_37,Kharif,Sorghum,119.94,1012.0,152.8,15.8,36.8,1.03,179.23,1.4943304985826247
2010,Punjab,District_38,Rabi,Pulses,463.37,508.0,,,32.2,0.54,393.4,0.8489975613440662
2007,Karnataka,District_39,Summer,Sorghum,369.88,720.2,131.3,26.2,33.4,,404.07,1.0924353844490104
2015,West Bengal,District_40,Autumn,Maize,439.66,600.0,82.4,20.1,31.2,0.85,822.46,1.8706727926124733
2003,Tamil Nadu,District_1,Kharif,Cotton,250.53,1239.7,169.8,19.2,34.0,0.67,491.77,1.9629186125414122
2014,Maharashtra,District_2,Kharif,Wheat,389.98,1042.6,190.0,16.5,,1.39,2079.38,5.332017026514181
2002,Uttar Pradesh,District_3,Kharif,Cotton,85.05,365.4,141.7,23.2,31.6,0.86,116.43,1.3689594356261023
2015,Kerala,District_4,Kharif,Pulses,410.7,517.0,161.2,17.7,37.2,0.78,348.32,0.8481129778427076
2015,Chhattisgarh,District_5,Kharif,Barley,272.13,820.9,126.0,19.7,30.2,1.1,543.96,1.998897585712711
2002,Andhra Pradesh,District_6,Rabi,Cotton,356.48,746.1,111.2,16.3,34.3,0.71,547.4,1.5355700179533212
2018,West Bengal,District_7,Summer,Mustard,307.36,558.6,186.1,24.7,33.5,1.05,335.54,1.0916840187402395
2009,West Bengal,District_8,Rabi,Groundnut,135.34,1277.8,160.5,23.5,28.8,0.38,179.71,1.3278409930545294
2018,Rajasthan,District_9,Rabi,Maize,99.6,918.8,164.6,19.9,32.6,0.69,278.48,2.795983935742972
2000,Bihar,District_10,Kharif,Sorghum,159.62,,205.1,16.5,,1.06,315.6,1.9771958401202858
2004,Haryana,District_11,Rabi,Sugarcane,343.42,697.8,102.8,24.6,29.4,1.19,27705.09,80.6740725642071
2011,Andhra Pradesh,District_12,Rabi,Wheat,370.2,1008.9,122.9,18.9,33.1,0.61,1090.75,2.946380334954079
2004,Andhra Pradesh,District_13,Summer,Sorghum,107.69,766.3,,16.7,32.4,0.58,119.45,1.109202340050144
2007,Gujarat,District_14,Summer,Sorghum,135.82,787.7,122.4,14.7,31.8,0.94,146.76,1.0805477838315418
2015,Odisha,District_15,Kharif,Rice,158.55,984.4,176.3,18.1,31.8,0.64,590.89,3.7268369599495426
2003,Bihar,District_16,Kharif,Sorghum,197.48,491.6,137.5,15.6,31.7,0.73,204.56,1.035851731820944
2016,West Bengal,District_17,Kharif,Sorghum,108.07,1201.3,105.3,18.1,30.9,1.02,169.77,1.5709262515036553
2002,Madhya Pradesh,District_18,Kharif,Barley,104.25,890.1,147.6,22.2,32.4,0.66,229.89,2.205179856115108
2004,Haryana,District_19,Summer,Maize,149.44,1131.8,151.8,18.9,30.1,0.31,399.79,2.6752542826552466
2014,Maharashtra,District_20,Kharif,Groundnut,257.69,613.4,182.4,21.1,40.0,0.47,296.39,1.1501804493771586
2019,Tamil Nadu,District_21,Rabi,Pulses,120.5,646.9,160.7,17.8,27.8,0.8,106.21,0.8814107883817427
2004,Karnataka,District_22,Rabi,Groundnut,228.27,594.4,163.4,20.2,30.2,0.33,256.44,1.123406492311736
2007,Andhra Pradesh,District_23,Kharif,Groundnut,461.8,905.1,157.8,25.8,,,642.42,1.391121697704634
2022,Andhra Pradesh,District_24,Kharif,Groundnut,395.97891463135795,864.5,137.5,19.0,38.1,0.45,1076.5624444606676,2.7187367930004767
2023,Telangana,District_25,Rabi,Pulses,216.18,747.8,116.4,21.2,28.0,1.21,223.05,1.0317790729947267
2013,Bihar,District_26,Rabi,Groundnut,452.53,626.9,156.6,15.3,33.3,1.34,687.21,1.5185954522352112
2010,Punjab,District_27,Kharif,Pulses,190.38,571.3,131.7,24.6,32.7,0.54,153.87,0.8082256539552475
2008,Kerala,District_28,Kharif,Rice,173.43,839.3,212.6,18.6,33.0,0.86,611.48,3.5258029176036443
2014,Tamil Nadu,District_29,Rabi,Rice,491.81,,198.7,23.2,35.7,0.56,1496.86,3.0435737378255827
2014,Andhra Pradesh,District_30,Kharif,Sorghum,203.62,699.2,170.3,19.6,35.6,0.72,245.34,1.2048914644926825
2007,Uttar Pradesh,District_31,Summer,Sorghum,474.71,1190.4,160.1,21.8,30.6,1.25,762.32,1.6058646331444462
2000,Rajasthan,District_32,Kharif,Pulses,316.52,831.9,141.5,22.0,32.6,0.68,288.76,0.91229622140781
2003,Madhya Pradesh,District_33,Kharif,Wheat,199.2,1129.4,94.6,18.6,26.4,0.73,601.55,3.0198293172690764
2023,Gujarat,District_34,Kharif,Mustard,326.3,732.7,136.4,23.3,32.3,0.56,366.58,1.1234446828072324
2010,West Bengal,District_35,Rabi,Wheat,296.57,903.9,149.1,17.7,29.6,1.09,1092.08,3.6823684121792493
2011,Haryana,District_36,Rabi,Cotton,451.48,837.8,154.2,22.3,31.4,0.1,647.56,1.4343049526003364
2011,Madhya Pradesh,District_37,Kharif,Cotton,176.09,476.5,163.8,18.8,26.9,0.69,251.47,1.4280765517633027
2018,Kerala,District_38,Autumn,Rice,250.82,1164.2,181.9,21.0,33.2,,1028.16,4.099194641575632
2001,Gujarat,District_39,Kharif,Barley,235.83,820.3,117.3,18.6,26.9,0.63,432.95,1.8358563371920449
2001,Kerala,District_40,Kharif,Pulses,373.34,1014.2,117.7,20.1,32.4,1.02,427.6,1.1453366904162428
2006,Chhattisgarh,District_1,Kharif,Cotton,132.28,684.6,203.0,16.8,,1.1,284.61,2.1515724221348655
2011,Andhra Pradesh,District_2,Kharif,Pulses,450.42,,175.8,20.7,29.5,0.45,416.28,0.9242040761955507
2016,Haryana,District_3,Rabi,Rice,323.69,659.3,129.4,20.1,35.5,1.32,966.54,2.9860051283635576
2011,Bihar,District_4,Kharif,Sugarcane,111.03,1121.9,140.7,18.4,33.8,0.44,7103.08,63.974421327569125
2010,Kerala,District_5,Rabi,Pulses,505.2,918.5,140.9,19.8,35.4,1.12,553.65,1.0959026128266034
2022,Telangana,District_6,Kharif,Cotton,934.92,930.8,146.3,20.4,36.7,0.84,1327.93,1.420367518076413
2003,Chhattisgarh,District_7,Autumn,Barley,446.35,1148.8,163.9,18.2,29.7,0.67,1234.4,2.7655427355214517
2013,Andhra Pradesh,District_8,Kharif,Maize,576.05,1104.4,246.4,19.6,36.5,0.7,2250.53,3.9068310042531036
2013,Bihar,District_9,Summer,Wheat,257.55,1018.4,152.6,17.0,27.6,0.79,861.35,3.3443991457969324
2011,Maharashtra,District_10,Kharif,Pulses,90.3,537.2,171.5,27.0,34.2,0.85,75.25,0.8333333333333334
2019,Haryana,District_11,Kharif,Barley,80.93,697.0,77.5,23.2,30.5,0.57,130.37,1.6108983071790435
2006,Madhya Pradesh,District_12,Rabi,Cotton,285.16,629.1,125.6,20.8,29.2,0.74,366.28,1.2844718754383502
2022,Andhra Pradesh,District_13,Rabi,Rice,171.54,1010.1,194.2,23.5,33.8,0.61,608.63,3.5480354436283084
2007,Karnataka,District_14,Rabi,Sorghum,141.35,887.5,161.1,14.1,,0.5,164.52,1.163919349133357
2013,Kerala,District_15,Kharif,Sugarcane,235.65,544.1,0.0,12.3,34.7,0.6,8988.78,38.14462126034373
2012,Kerala,District_16,Rabi,Wheat,354.02,808.5,172.0,18.8,32.6,0.51,1122.89,3.171826450483024
2020,Maharashtra,District_17,Summer,Groundnut,102.34,521.3,221.7,15.9,32.4,0.69,150.57,1.4712722298221612
2010,Tamil Nadu,District_18,Rabi,Cotton,186.92,838.3,65.2,19.3,33.6,0.91,284.07,1.5197410656965546
2006,Madhya Pradesh,District_19,Kharif,Sorghum,605.42,485.8,,20.6,32.9,0.83,749.03,1.2372072280400384
2000,Telangana,District_20,Rabi,Maize,128.36,966.3,34.1,22.8,33.6,1.29,345.87,2.6945310065440946
2008,Maharashtra,District_21,Rabi,Pulses,412.34,,182.5,16.6,32.6,0.25,363.04,0.8804384731047195
2019,Haryana,District_22,Autumn,Pulses,182.94,1269.7,144.7,21.2,34.5,0.92,196.51,1.0741773258992018
2000,Gujarat,District_23,Kharif,Maize,339.5,1036.5,51.0,20.0,27.1,0.8,752.34,2.2160235640648014
2021,Karnataka,District_24,Kharif,Sugarcane,472.67,757.0,162.8,21.0,31.6,1.0,35230.64,74.53538409461146
2013,Odisha,District_25,Rabi,Wheat,381.75,1030.0,191.0,18.4,27.8,0.98,1494.18,3.9140275049115916
2003,Gujarat,District_26,Rabi,Groundnut,422.21,542.5,159.6,24.1,32.8,0.76,472.3,1.1186376447739277
2007,Uttar Pradesh,District_27,Rabi,Mustard,122.61,638.3,168.4,19.7,36.9,0.84,131.6,1.0733219150150886
2013,Madhya Pradesh,District_28,Kharif,Sorghum,477.32,923.3,128.5,25.3,,0.61,606.32,1.2702589457806086
2007,Telangana,District_29,Kharif,Cotton,146.7,375.2,70.5,17.6,32.4,0.95,184.8,1.259713701431493
2002,Punjab,District_30,Rabi,Maize,285.92,841.8,172.7,22.2,34.3,0.33,619.71,2.167424454392837
2015,Karnataka,District_31,Kharif,Pulses,285.7,625.5,215.0,19.8,25.8,0.99,284.24,0.9948897444872244
2016,Gujarat,District_32,Kharif,Groundnut,327.36,872.3,190.2,19.0,30.4,0.79,481.51,1.4708883186705766
2002,Rajasthan,District_33,Rabi,Sorghum,299.52,612.9,65.5,21.9,33.1,0.68,280.17,0.9353966346153847
2006,Karnataka,District_34,Rabi,Rice,147.48,943.3,84.4,19.1,23.3,0.74,429.25,2.9105641442907513
2005,Gujarat,District_35,Summer,Maize,108.86,854.3,111.2,12.0,29.1,0.76,259.94,2.3878375895645783
2015,Uttar Pradesh,District_36,Kharif,Maize,412.98,1158.1,81.3,10.8,35.3,1.12,1306.27,3.1630345295171676
2017,Madhya Pradesh,District_37,Kharif,Maize,273.55,851.5,146.8,23.8,35.0,1.61,1052.67,3.848181319685615
2017,Andhra Pradesh,District_38,Autumn,Sugarcane,487.66,680.9,160.7,23.7,33.1,1.1,38218.49,78.37118074067997
2022,Madhya Pradesh,District_39,Kharif,Barley,238.21,795.7,87.8,25.7,34.6,0.66,371.64,1.5601360144410392
2018,Madhya Pradesh,District_40,Kharif,Rice,105.31,554.3,176.1,19.9,32.6,0.96,353.87,3.3602696799924034
2007,Telangana,District_1,Kharif,Barley,436.89,939.4,169.0,16.1,33.7,0.97,1053.53,2.4114307949369405
2002,Rajasthan,District_2,Rabi,Groundnut,195.93,979.8,,18.7,31.1,0.57,250.03,1.2761190220997294
2014,Gujarat,District_3,Summer,Groundnut,300.43,1393.2,138.1,20.0,32.3,0.48,450.3,1.4988516459741037
2021,Chhattisgarh,District_4,Rabi,Groundnut,165.92,713.2,67.0,17.0,30.1,0.78,185.85,1.1201181292189006
2023,Odisha,District_5,Rabi,Wheat,656.28,791.1,131.7,24.9,35.8,1.0,2115.27,3.223121228743829
2005,Andhra Pradesh,District_6,Kharif,Mustard,144.61,723.3,145.3,26.7,36.6,0.4,148.58,1.0274531498513242
2005,Karnataka,District_7,Kharif,Maize,199.85,,151.7,21.4,36.1,0.62,594.71,2.9757818363772834
2000,Chhattisgarh,District_8,Kharif,Pulses,260.99,934.0,160.2,20.0,30.8,0.94,306.31,1.1736464998658953
2003,Andhra Pradesh,District_9,Kharif,Groundnut,127.06,838.3,154.8,16.1,29.1,0.81,174.41,1.3726585864945695
2013,Uttar Pradesh,District_10,Kharif,Groundnut,298.36,1089.0,134.4,24.6,35.8,1.15,543.3,1.8209545515484646
2013,Bihar,District_11,Kharif,Cotton,643.64,714.3,156.4,20.2,33.6,,961.15,1.4933037101485303
2008,Andhra Pradesh,District_12,Kharif,Cotton,1009.0768754585621,1067.0,185.1,19.1,33.0,1.39,3794.4063027669213,3.7602747571066892
2007,Uttar Pradesh,District_13,Rabi,Sugarcane,1544.6372623005748,968.5,141.2,21.4,30.1,0.42,130627.94982560091,84.56869001790382
2019,Gujarat,District_14,Rabi,Rice,47.01,847.4,157.7,18.2,33.3,0.29,144.33,3.0701978302488837
2011,Telangana,District_15,Kharif,Mustard,239.04,780.7,137.6,20.4,28.7,0.79,277.17,1.1595130522088355
2019,Andhra Pradesh,District_16,Kharif,Rice,202.79,1383.9,119.1,15.7,33.9,0.52,734.86,3.6237487055574733
2023,Chhattisgarh,District_17,Rabi,Sugarcane,149.74,670.3,165.9,23.3,36.1,0.79,10305.27,68.82108988914118
2007,Bihar,District_18,Rabi,Groundnut,468.19,,122.8,19.7,36.9,0.78,629.47,1.3444755334372798
2004,Rajasthan,District_19,Rabi,Rice,201.19,685.0,160.4,23.5,34.1,0.75,667.63,3.3184054873502657
2022,Odisha,District_20,Kharif,Sorghum,219.97,1242.8,146.1,19.4,27.9,0.59,348.51,1.5843524116925034
2015,Madhya Pradesh,District_21,Rabi,Cotton,195.13,1045.1,132.8,19.6,32.6,0.91,374.96,1.9215907343822067
2006,Gujarat,District_22,Kharif,Rice,77.47,700.8,131.9,16.4,38.4,0.72,208.46,2.690848070220731
2014,Bihar,District_23,Kharif,Groundnut,124.07,962.8,124.7,,29.4,1.08,185.46,1.4948013218344485
2012,Odisha,District_24,Kharif,Pulses,435.57,906.7,79.2,17.4,31.8,0.75,329.05,0.7554468856900154
2021,Gujarat,District_25,Kharif,Groundnut,68.99,736.3,160.3,18.5,36.2,0.56,96.61,1.4003478765038413
2006,Odisha,District_26,Kharif,Mustard,154.5,1016.8,,20.0,33.9,,169.11,1.0945631067961166
2023,Punjab,District_27,Kharif,Sugarcane,192.51,935.6,179.0,20.4,39.4,0.76,16092.16,83.59129395875539
2022,Telangana,District_28,Rabi,Barley,696.57,897.5,,14.9,29.8,0.48,1294.58,1.8585066827454524
2004,Madhya Pradesh,District_29,Kharif,Cotton,388.06,840.8,220.8,19.3,29.0,0.46,709.41,1.8280935937741585
2003,Andhra Pradesh,District_30,Kharif,Pulses,175.16,944.8,129.8,22.4,35.7,0.93,180.28,1.029230417903631
2012,Haryana,District_31,Kharif,Wheat,535.24,900.5,110.0,18.9,28.4,0.36,1281.17,2.3936364995142365
2001,Telangana,District_32,Kharif,Groundnut,156.91,863.0,105.3,19.3,31.4,1.15,205.16,1.3075011152890192
2007,Maharashtra,District_33,Kharif,Maize,448.3,709.0,75.6,20.5,31.8,0.84,1112.29,2.4811287084541602
2010,Odisha,District_34,Kharif,Groundnut,108.27,1222.6,206.3,19.6,35.1,,208.22,1.9231550752747761
2023,Madhya Pradesh,District_35,Kharif,Barley,465.89,618.9,199.8,16.9,33.8,0.54,979.49,2.1024061473738436
2023,Chhattisgarh,District_36,Rabi,Barley,649.0593914759594,944.1,169.0,19.9,33.4,0.99,3261.1694750327124,5.02445464600215
2003,Uttar Pradesh,District_37,Summer,Sorghum,132.01,779.5,109.2,23.0,30.8,0.8,145.79,1.1043860313612606
2021,Tamil Nadu,District_38,Kharif,Wheat,214.8,1237.1,217.5,16.8,35.6,0.63,935.7,4.356145251396648
2002,West Bengal,District_39,Rabi,Wheat,288.99,,130.9,18.9,44.1,0.85,695.48,2.4065884632686254
2017,Telangana,District_40,Summer,Sorghum,181.84,688.2,134.2,15.9,34.1,0.38,164.97,0.9072261328640563
2020,Haryana,District_1,Autumn,Cotton,341.17,636.6,202.5,22.8,32.3,0.39,504.0,1.477269396488554
2021,Haryana,District_2,Rabi,Rice,172.47,921.2,171.4,19.7,28.1,0.52,614.52,3.5630544442511742
2005,Gujarat,District_3,Summer,Maize,355.04,547.9,233.0,17.4,30.1,0.89,1018.17,2.867761378999549
2021,Uttar Pradesh,District_4,Summer,Barley,319.05,744.7,154.9,20.3,31.4,0.8,633.54,1.9857075693464972
2002,Maharashtra,District_5,Rabi,Cotton,235.91,376.5,,16.4,30.4,1.06,314.98,1.3351701920223815
2012,Madhya Pradesh,District_6,Kharif,Rice,187.76,902.9,120.5,16.9,32.0,0.57,663.92,3.536003408606732
2011,West Bengal,District_7,Kharif,Mustard,267.98,740.0,71.1,15.6,37.3,0.94,212.78,0.7940144786924397
2007,Odisha,District_8,Kharif,Wheat,340.41,522.6,133.9,16.8,35.7,0.77,901.4,2.647983314238712
2000,Uttar Pradesh,District_9,Kharif,Cotton,843.09,1088.8,190.8,24.1,31.5,0.56,1611.7,1.9116583045700932
2018,West Bengal,District_10,Kharif,Rice,429.94,562.3,169.0,17.8,28.4,0.9,1300.57,3.0250034888589106
2008,Bihar,District_11,Kharif,Groundnut,439.48,1025.3,145.8,21.4,36.0,0.78,640.41,1.457199417493401
2015,Karnataka,District_12,Rabi,Sugarcane,1561.04,695.8,105.2,17.5,31.9,,97028.65,62.15641495413314
2009,Rajasthan,District_13,Rabi,Barley,333.48,1202.3,154.1,22.3,26.8,0.81,894.2,2.681420175122946
2008,Telangana,District_14,Rabi,Cotton,327.27,1014.9,185.5,,34.1,0.77,666.35,2.03608641183121
2021,Chhattisgarh,District_15,Kharif,Maize,373.31,628.2,,20.1,35.1,0.76,1038.26,2.781227398140955
2002,Karnataka,District_16,Kharif,Wheat,133.57,648.2,151.7,20.2,,0.7,416.05,3.1148461480871457
2017,Maharashtra,District_17,Rabi,Maize,187.48,983.2,113.1,27.0,29.5,0.47,488.52,2.6057179432472797
2017,Tamil Nadu,District_18,Rabi,Sugarcane,180.6,792.3,179.7,21.9,31.7,0.82,13761.85,76.20071982281286
2009,Bihar,District_19,Autumn,Rice,360.89,812.7,19.7,,34.2,0.6,802.34,2.22322591371332
2006,Odisha,District_20,Summer,Sugarcane,220.41,1129.9,160.3,22.1,30.5,0.54,18583.02,84.31114740710494
2000,Haryana,District_21,Summer,Barley,265.85,685.3,247.8,26.4,,0.74,589.92,2.2189956742523975
2022,Gujarat,District_22,Kharif,Mustard,469.88,870.1,84.7,15.1,34.2,0.98,448.32,0.9541159444964672
2022,Maharashtra,District_23,Kharif,Groundnut,410.71,,135.3,17.5,30.6,0.85,528.3,1.2863090745294734
2005,Kerala,District_24,Kharif,Barley,222.06,1028.0,144.7,19.3,33.6,0.67,488.17,2.198369809961272
2000,Punjab,District_25,Rabi,Mustard,163.69,,126.5,18.7,28.7,0.66,179.65,1.0975013745494533
2002,Karnataka,District_26,Summer,Groundnut,483.55,786.4,186.5,19.0,27.9,0.96,689.98,1.4269051804363562
2001,Telangana,District_27,Kharif,Barley,389.29,467.5,163.9,16.1,34.3,0.2,600.27,1.5419610059338795
2019,Bihar,District_28,Rabi,Wheat,93.34,617.6,151.1,24.2,32.8,1.0,289.35,3.099957145918149
2021,Telangana,District_29,Kharif,Barley,202.78,920.0,176.9,15.7,34.8,0.33,444.66,2.192819804714469
2003,Andhra Pradesh,District_30,Kharif,Maize,270.24,819.7,145.7,19.4,30.4,0.45,678.97,2.512470396684429
2017,Rajasthan,District_31,Kharif,Mustard,1299.2875988997594,866.5,272.2,23.1,29.6,0.67,2873.9541794891848,2.2119461325751573
2004,Karnataka,District_32,Kharif,Sorghum,422.45,1078.6,151.1,19.9,36.1,1.34,746.07,1.766055154456149
2008,Kerala,District_33,Summer,Sugarcane,290.13,588.8,152.8,17.1,27.4,,23165.68,79.84586219970359
2014,Andhra Pradesh,District_34,Kharif,Rice,347.63,798.0,76.6,16.0,35.8,0.98,954.4,2.7454477461669016
2017,Rajasthan,District_35,Rabi,Cotton,254.29,,123.3,19.3,36.0,0.89,373.92,1.4704471272956074
2020,Chhattisgarh,District_36,Rabi,Sugarcane,163.32,695.1,190.9,17.7,34.6,0.33,10708.73,65.56900563311291
2001,Punjab,District_37,Kharif,Sorghum,209.19,1164.9,91.6,20.6,29.9,0.84,254.25,1.2154022658826904
2004,Rajasthan,District_38,Kharif,Sorghum,247.5,1049.9,58.7,15.8,29.6,0.66,288.33,1.164969696969697
2006,Telangana,District_39,Rabi,Pulses,239.65,913.8,146.3,22.4,31.4,0.6,224.02,0.934779887335698
2007,Rajasthan,District_40,Kharif,Sorghum,78.94,1244.7,199.8,20.3,28.1,0.84,161.1,2.0407904737775526
2023,Haryana,District_1,Summer,Sugarcane,995.0439201267768,520.2,146.7,,29.1,0.68,40573.85259157099,40.77594141412526
2018,Rajasthan,District_2,Kharif,Sugarcane,253.08,848.3,131.6,24.3,33.9,1.02,19885.86,78.57539118065434
2007,Telangana,District_3,Rabi,Barley,206.68,930.6,70.7,,,0.32,344.14,1.6650861234759047
2023,Karnataka,District_4,Rabi,Groundnut,211.01,648.8,163.1,,28.9,0.82,259.66,1.230557793469504
2011,Bihar,District_5,Kharif,Pulses,327.93,916.2,171.5,18.4,34.0,0.58,330.48,1.0077760497667185
2012,Uttar Pradesh,District_6,Kharif,Sugarcane,128.08,606.6,73.7,19.4,33.4,0.7,6485.87,50.639209868831976
2010,Chhattisgarh,District_7,Autumn,Mustard,92.13,1001.9,,19.7,36.5,0.88,125.33,1.3603603603603605
2003,Odisha,District_8,Kharif,Mustard,198.56,1082.7,175.6,17.5,33.7,0.52,264.7,1.333098307816277
2022,Gujarat,District_9,Kharif,Sugarcane,387.02,,190.3,13.9,35.2,0.84,30129.46,77.84987855924759
2000,Chhattisgarh,District_10,Kharif,Rice,673.53,442.4,168.3,18.3,33.4,0.75,1880.5,2.7920062951910087
2004,Tamil Nadu,District_11,Kharif,Wheat,391.22,637.3,171.1,21.1,34.9,0.63,1170.64,2.9922805582536682
2005,Chhattisgarh,District_12,Rabi,Wheat,101.4,974.2,165.8,20.4,28.1,0.68,342.06,3.3733727810650884
2006,Punjab,District_13,Rabi,Sugarcane,212.85,854.7,179.7,23.6,31.6,0.76,15784.63,74.15846840498003
2003,Rajasthan,District_14,Kharif,Groundnut,285.43,257.3,72.2,25.9,31.9,0.61,233.19,0.8169778930035385
2000,Andhra Pradesh,District_15,Rabi,Barley,272.2,1123.4,85.0,22.3,31.3,0.8,584.56,2.1475385745775166
2016,Chhattisgarh,District_16,Kharif,Maize,338.18,880.1,115.6,24.1,33.3,0.73,797.29,2.3575906322077
2023,Tamil Nadu,District_17,Kharif,Mustard,141.14,669.8,139.8,22.3,33.9,0.65,129.54,0.9178121014595437
2002,Maharashtra,District_18,Rabi,Groundnut,254.41,1068.9,160.5,25.1,33.2,1.2,429.77,1.6892810817184858
2007,Bihar,District_19,Autumn,Rice,314.88,700.9,158.0,25.6,31.5,0.9,1103.19,3.5035251524390247
2012,West Bengal,District_20,Kharif,Cotton,401.58,698.5,189.7,22.9,29.8,0.7,693.05,1.7258080581702275
2022,Haryana,District_21,Kharif,Cotton,150.89,928.8,190.9,22.1,,0.84,318.61,2.111538206640599
2016,Andhra Pradesh,District_22,Rabi,Barley,198.92,1241.8,110.1,19.4,33.0,0.54,405.59,2.038960386084858
2018,Uttar Pradesh,District_23,Rabi,Sorghum,48.31,1207.2,154.5,19.9,28.9,0.69,67.6,1.3992962119643964
2013,Andhra Pradesh,District_24,Kharif,Barley,168.53,929.1,111.1,19.0,31.4,0.72,351.84,2.0876995193734054
2010,Maharashtra,District_25,Kharif,Pulses,178.64,,137.5,21.9,26.8,0.49,157.86,0.8836766681594269
2004,West Bengal,District_26,Rabi,Sugarcane,132.72,1024.1,157.9,17.8,32.1,,11714.02,88.26115129596143
2020,Odisha,District_27,Kharif,Cotton,270.26,573.5,8.7,19.4,31.4,0.67,218.74,0.8093687560127285
2019,Odisha,District_28,Kharif,Mustard,236.61,991.7,241.4,12.9,30.3,0.71,349.32,1.4763534930898947
2000,Kerala,District_29,Kharif,Rice,63.08,688.5,167.7,25.2,,0.66,208.22,3.300887761572606
2017,Chhattisgarh,District_30,Kharif,Maize,278.47,920.1,,19.3,,1.54,892.03,3.2033253133192083
2002,Odisha,District_31,Kharif,Wheat,140.19,800.0,222.1,21.4,34.1,0.63,524.21,3.739282402453813
2017,Uttar Pradesh,District_32,Summer,Sugarcane,327.48,960.3,131.1,24.4,38.6,0.28,15813.42,48.2882008061561
2019,Bihar,District_33,Rabi,Maize,113.4,876.0,150.3,20.9,35.2,0.4,268.92,2.3714285714285714
2003,Uttar Pradesh,District_34,Rabi,Wheat,249.14,173.9,125.5,24.3,31.9,0.99,526.49,2.113229509512724
2010,Kerala,District_35,Autumn,Cotton,206.46,889.4,211.1,16.3,28.6,1.13,527.44,2.5546837159740385
2002,Maharashtra,District_36,Kharif,Barley,293.5,991.3,140.8,27.2,27.9,0.63,558.36,1.902419080068143
2013,Chhattisgarh,District_37,Kharif,Pulses,263.7,948.1,151.0,23.3,,1.12,327.41,1.2416003033750476
2022,Odisha,District_38,Summer,Barley,209.96,827.4,193.2,20.6,29.9,0.99,563.32,2.682987235663936
2001,Chhattisgarh,District_39,Kharif,Sorghum,97.34,1211.3,168.4,24.3,29.8,0.75,146.53,1.5053420998561742
2009,Haryana,District_40,Rabi,Sorghum,100.85,918.5,142.8,16.5,31.0,,127.77,1.266931085770947
2023,Rajasthan,District_1,Rabi,Cotton,172.37,946.3,189.4,19.1,31.7,0.85,350.85,2.035447003538899
2007,Andhra Pradesh,District_2,Kharif,Barley,243.48,1079.8,246.5,24.3,33.5,1.02,676.2,2.7772301626416955
2003,Madhya Pradesh,District_3,Kharif,Sorghum,169.87,929.8,157.7,14.4,28.3,0.9,235.92,1.3888267498675457
2011,Odisha,District_4,Kharif,Sorghum,356.07,,,21.7,30.0,0.63,438.79,1.2323138708680879
2012,Chhattisgarh,District_5,Kharif,Cotton,206.95,313.6,,21.6,31.5,0.76,269.15,1.30055568978014
2015,Haryana,District_6,Kharif,Maize,137.14,745.0,,25.9,31.4,1.3,474.06,3.4567595158232467
2007,Karnataka,District_7,Kharif,Pulses,207.09,1017.4,121.0,15.3,37.5,0.86,208.08,1.0047805302042592
2022,Punjab,District_8,Rabi,Sorghum,280.2,772.3,133.9,24.8,32.7,1.02,382.33,1.3644896502498216
2012,West Bengal,District_9,Summer,Sorghum,297.36,1026.3,83.5,18.3,27.2,0.93,394.34,1.3261366693570082
2006,Telangana,District_10,Rabi,Pulses,755.23,882.7,97.6,18.7,,0.87,661.59,0.876011281331515
2023,Gujarat,District_11,Kharif,Wheat,163.8,1133.4,124.3,16.3,33.6,0.83,643.51,3.9286324786324784
2022,Andhra Pradesh,District_12,Kharif,Sugarcane,802.2009361440485,785.1,142.8,16.7,31.6,1.02,133516.86959987713,166.43818722233698
2011,Andhra Pradesh,District_13,Kharif,Mustard,315.98,952.9,215.8,21.2,28.4,0.98,524.36,1.659472118488512
2000,Odisha,District_14,Kharif,Pulses,241.28,,166.4,16.7,37.3,0.87,246.26,1.0206399204244032
2014,Chhattisgarh,District_15,Summer,Cotton,181.21,1180.4,108.5,22.2,28.8,0.63,282.6,1.5595165829700348
2013,Gujarat,District_16,Kharif,Cotton,96.59,474.5,115.9,18.0,34.0,0.9,124.45,1.2884356558649963
2003,Telangana,District_17,Kharif,Rice,180.1,749.2,200.0,16.4,32.6,0.78,660.22,3.6658523042754028
2015,Telangana,District_18,Rabi,Maize,128.48,1036.7,190.1,18.4,33.8,0.72,365.73,2.8465909090909096
